Year,average,averageBase
2001,3.297176220295844,3.4522138389340933
2002,3.3583770621174565,3.511148375171497
2003,3.2538593374903684,3.400535012121526
2004,3.2768740462574293,3.4223121453626737
2005,3.265777751984263,3.409058691818793
2006,3.222065974009576,3.35668203834411
2007,3.1815417210670227,3.3139031324355863
2008,3.1294376249242783,3.257930040044054
2009,3.152960057396225,3.2853170600106223
2010,3.105055714857268,3.233822724433763
2011,3.0930878707832763,3.223534797387837
2012,3.0193640298226616,3.148167403149936
2013,2.9801289834825058,3.1090415449986306
2014,2.9469821712970345,3.077150413696633
2015,2.909596854934129,3.0393302936472164
2016,2.8690917199978587,2.9941656561433345
2017,2.819223093269752,2.9437235733977616
2018,2.7709498196314097,2.89273424762371
2019,2.7335753922073276,2.853603214902189
2020,2.7145573158568572,2.832764690225848
2021,2.696583716056416,2.8146754568898045
2022,2.685056372931698,2.799684744315581
2023,2.637277636251292,2.749255447160491
